radius	density  	Vp	        Vs	eta	Q
0	13.0885	11.2622	        3.6678	1	84.6
100	13.08632	11.26063	3.6667	1	84.6
200	13.07979	11.25593	3.66342	1	84.6
300	13.0689	11.24809	3.65794	1	84.6
400	13.05366	11.23711	3.65027	1	84.6
500	13.03406	11.223	3.64041	1	84.6
600	13.01011	11.20576	3.62835	1	84.6
700	12.98181	11.18537	3.61411	1	84.6
800	12.94914	11.16186	3.59767	1	84.6
900	12.91213	11.1352	3.57905	1	84.6
1000	12.87076	11.10541	3.55823	1	84.6
1100	12.82503	11.07249	3.53522	1	84.6
1200	12.77495	11.03642	3.51002	1	84.6
1217.1	12.76595	11.02994	3.50549	1	84.6
1221.5	12.76361	11.02826	3.50431	1	84.6
1221.5	12.16633	10.35572	0	1	0
1300	12.12499	10.30975	0	1	0
1400	12.06923	10.24963	0	1	0
1500	12.00988	10.18747	0	1	0
1600	11.94681	10.12295	0	1	0
1700	11.87989	10.05576	0	1	0
1800	11.809  	9.98558	        0	1	0
1900	11.73401	9.9121	        0	1	0
2000	11.65478	9.835    	0	1	0
2100	11.57119	9.75397	        0	1	0
2200	11.48311	9.66869	        0	1	0
2221.5	11.46358	9.64977	        0	1	0
2300	11.39042	9.57885	        0	1	0
2400	11.29298	9.48413	        0	1	0
2500	11.19067	9.38422	        0	1	0
2600	11.08336	9.2788	        0	1	0
2700	10.97092	9.16756	        0	1	0
2800	10.85322	9.05019	        0	1	0
2900	10.73013	8.92636	        0	1	0
3000	10.60153	8.79577	        0	1	0
3100	10.46729	8.65809	        0	1	0
3200	10.32727	8.51302	        0	1	0
3300	10.18136	8.36024	        0	1	0
3400	10.02942	8.19943	        0	1	0
3480	9.90344	8.06479	        0	1	0
3480	5.56646	13.71662	7.26465	1	312
3485.7	5.5636	13.71522	7.26471	1	312
3535.7	5.53856	13.70302	7.2652	1	312
3585.7	5.51358	13.69098	7.26563	1	312
3630	5.49148	13.68042	7.26593	1	312
3630	5.49148	13.68044	7.26597	1	312
3635.7	5.48863	13.6735	 7.26331	1	312
3685.7	5.46372	13.61313	7.24048	1	312
3735.7	5.43883	13.55341	7.21781	1	312
3785.7	5.41395	13.49426	7.19529	1	312
3835.7	5.38908	13.4356	        7.17287	1	312
3885.7	5.3642	13.37735	7.15055	1	312
3935.7	5.33931	13.31944	7.12828	1	312
3985.7	5.3144	13.26179	7.10605	1	312
4035.7	5.28945	13.20432	7.08382	1	312
4085.7	5.26447	13.14696	7.06157	1	312
4135.7	5.23944	13.08963	7.03927	1	312
4185.7	5.21434	13.03224	7.0169	1	312
4235.7	5.18919	12.97473	6.99442	1	312
4285.7	5.16395	12.91702	6.97182	1	312
4335.7	5.13863	12.85902	6.94906	1	312
4385.7	5.11322	12.80067	6.92611	1	312
4435.7	5.0877	12.74188	6.90296	1	312
4485.7	5.06208	12.68258	6.87957	1	312
4535.7	5.03633	12.62269	6.85592	1	312
4585.7	5.01045	12.56213	6.83197	1	312
4635.7	4.98443	12.50083	6.80771	1	312
4685.7	4.95827	12.4387	        6.78311	1	312
4735.7	4.93195	12.37567	6.75813	1	312
4785.7	4.90547	12.31167	6.73276	1	312
4835.7	4.87881	12.24662	6.70696	1	312
4885.7	4.85196	12.18043	6.68071	1	312
4935.7	4.82493	12.11304	6.65398	1	312
4985.7	4.7977	12.04435	6.62674	1	312
5035.7	4.77025	11.97431	6.59897	1	312
5085.7	4.74259	11.90283	6.57064	1	312
5135.7	4.71469	11.82983	6.54173	1	312
5185.7	4.68656	11.75523	6.5122	1	312
5235.7	4.65819	11.67896	6.48204	1	312
5285.7	4.62956	11.60095	6.4512	1	312
5335.7	4.60067	11.5211  	6.41967	1	312
5385.7	4.5715	11.43936	6.38742	1	312
5435.7	4.54206	11.35563	6.35442	1	312
5485.7	4.51232	11.26984	6.32065	1	312
5535.7	4.48228	11.18192	6.28608	1	312
5585.7	4.45194	11.09179	6.25067	1	312
5600	4.4432	11.0656 	6.24054	1	312
5600	4.4432	11.06559	6.24039	1	312
5635.7	4.42128	10.95459	6.13609	1	312
5685.7	4.39029	10.79897	5.98986	1	312
5701	4.38074	10.75132	5.94513	1	312
5701	3.99212	10.26617	5.57021	1	143
5711	3.98979	10.25069	5.56247	1	143
5721	3.98746	10.2352 	5.55473	1	143
5731	3.98514	10.21971	5.54699	1	143
5741	3.98281 10.20422	5.53924	1	143
5751	3.98048	10.18874	5.5315	1	143
5761	3.97815	10.17325	5.52376	1	143
5771	3.97582	10.15783	5.51593	1	143
5771	3.97582	10.15776	5.51602	1	143
5781	3.96322	10.10663	5.48676	1	143
5791	3.95061	10.05543	5.45759	1	143
5801	3.93801	10.00424	5.42841	1	143
5811	3.92541	 9.95304	5.39924	1	143
5821	3.9128	 9.90185	5.37007	1	143
5831	3.9002	 9.85065	5.3409	1	143
5841	3.88759	 9.79946	5.31173	1	143
5851	3.87499	 9.74826	5.28255	1	143
5861	3.86239	 9.69707	5.25338	1	143
5871	3.84978	 9.64587	5.22421	1	143
5881	3.83718	 9.59468	5.19504	1	143
5891	3.82458	 9.54348	5.16586	1	143
5901	3.81197	 9.49228	5.13669	1	143
5911	3.79937	 9.44109	5.10752	1	143
5921	3.78677	 9.38989	5.07835	1	143
5931	3.77416	 9.3387	        5.04918	1	143
5941	3.76156	 9.2875	        5.02	1	143
5951	3.74895	 9.23631	4.99083	1	143
5961	3.73635	 9.18511	4.96166	1	143
5971	3.72375	 9.13392	4.93249	1	143
5971	3.54326	 8.90524	4.7699	1	143
5981	3.53729	 8.886	        4.7629	1	143
5991	3.53132	 8.86677	4.7559	1	143
6001	3.52535	 8.84753	4.7489	1	143
6011	3.51938	 8.82829	4.7419	1	143
6021	3.51341	 8.80905	4.7349	1	143
6031	3.50743	 8.78981	4.7279	1	143
6041	3.50146	 8.77057	4.7209	1	143
6051	3.49549	 8.75133	4.7139	1	143
6061	3.48952	 8.7321	        4.7069	1	143
6071	3.48355	 8.71286	4.6999	1	143
6081	3.47758	 8.69362	4.6929	1	143
6091	3.4716	 8.67438	4.6859	1	143
6101	3.46563	 8.65514	4.6789	1	143
6111	3.45966	 8.6359	        4.6719	1	143
6121	3.45369	 8.61666	4.6649	1	143
6131	3.44772	 8.59743	4.6579	1	143
6141	3.44175	 8.57819	4.6509	1	143
6151	3.43577	 8.55895	4.6439	1	143
6151	3.35949	 7.80045	4.43626	0.97646	80
6161	3.36058	 7.81178	4.44524	0.97257	80
6171	3.36166	 7.82311	4.45421	0.96868	80
6181	3.36275	 7.83444	4.46319	0.96479	80
6191	3.36384	 7.84577	4.47216	0.96091	80
6201	3.36492	 7.8571	        4.48113	0.95702	80
6211	3.36601	 7.86843	4.49011	0.95313	80
6221	3.3671	 7.87976	4.49908	0.94924	80
6231	3.36818	 7.89109	4.50806	0.94535	80
6241	3.36927	 7.90242	4.51703	0.94146	80
6251	3.37036	 7.91375	4.52601	0.93757	80
6261	3.37145	 7.92508	4.53498	0.93368	80
6271	3.37253	 7.93641	4.54396	0.92979	80
6281	3.37362	 7.94773	4.55293	0.9259	80
6291	3.37471	 7.95906	4.5619	0.92201	600
6291	3.37471	 7.95906	4.5619	0.92201	80
6301	3.37579	 7.97039	4.57088	0.91812	600
6311	3.37688	 7.98172	4.57985	0.91424	600
6321	3.37797	 7.99305	4.58883	0.91035	600
6326	3.37851	 7.99872	4.59332	0.9084	600
6336	3.3796	 8.01005	4.60229	0.90451	600
6338	3.37981	 8.01231	4.60408	0.90373	600
6340	3.38003	 8.01458	4.60588	0.90296	600
6342	3.38025	 8.01684	4.60767	0.90218	600
6344	3.38047	 8.01911	4.60947	0.9014	600
6346	3.38068	 8.02138	4.61126	0.90062	600
6346.6	3.38075	 8.02206	4.6118	0.90039	600
6346.6	2.9	 6.8    	3.9	1	600
6348	2.9	 6.8	        3.9	1	600
6350	2.9	 6.8	        3.9	1	600
6352	2.9	 6.8	        3.9	1	600
6354	2.9	 6.8	        3.9	1	600
6355	2.9	 6.8	        3.9	1	600
6355	2.6	 5.8	        3.2	1	600
6356	2.9	 5.8	        3.9	1	600
6358	2.6	 5.8	        3.2	1	600
6360	2.6	 5.8	        3.2	1	600
6362	2.6	 5.8	        3.2	1	600
6364	2.6	 5.8	        3.2	1	600
6366	2.6	 5.8	        3.2	1	600
6368	2.6	 5.8	        3.2	1	0
6370	2.6	 5.8	        3.2	1	0
6371	2.6	 5.8	        3.2	1	0
